Puri,"['32°', '32°', '32°', '31°', '31°', '31°', '31°', '28°', '28°', '27°', '27°', '32°', '32°']"
Raichur,"['35°', '35°', '35°', '33°', '33°', '32°', '32°', '32°', '32°', '33°', '33°', '35°', '35°']"
Rajkot,"['37°', '32°', '32°', '35°', '35°', '34°', '34°', '33°', '33°', '33°', '33°', '37°', '32°']"
Ranchi,"['31°', '31°', '31°', '31°', '31°', '27°', '27°', '26°', '26°', '24°', '24°', '31°', '31°']"
Ratlam,"['34°', '34°', '34°', '31°', '31°', '31°', '31°', '30°', '30°', '30°', '30°', '34°', '34°']"
Ratnagiri,"['34°', '33°', '33°', '33°', '33°', '32°', '32°', '32°', '32°', '31°', '31°', '34°', '33°']"
Redi,"['34°', '34°', '34°', '33°', '33°', '31°', '31°', '30°', '30°', '30°', '30°', '34°', '34°']"
Rewa,"['33°', '33°', '33°', '30°', '30°', '30°', '30°', '30°', '30°', '28°', '28°', '33°', '33°']"
Salaya,"['34°', '33°', '33°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '34°', '33°']"
Salem,"['36°', '35°', '35°', '34°', '34°', '34°', '34°', '34°', '34°', '35°', '35°', '36°', '35°']"
Sambalpur,"['36°', '35°', '35°', '34°', '34°', '29°', '29°', '29°', '29°', '28°', '28°', '36°', '35°']"
Sandheads,"['29°', '28°', '28°', '28°', '28°', '28°', '28°', '26°', '26°', '26°', '26°', '29°', '28°']"
Satna,"['33°', '33°', '33°', '30°', '30°', '29°', '29°', '29°', '29°', '28°', '28°', '33°', '33°']"
Shiliguri,"['31°', '30°', '30°', '29°', '29°', '27°', '27°', '26°', '26°', '25°', '25°', '31°', '30°']"
Shillong,"['21°', '18°', '18°', '18°', '18°', '18°', '18°', '16°', '16°', '16°', '16°', '21°', '18°']"
Sholapur,"['37°', '37°', '37°', '34°', '34°', '33°', '33°', '33°', '33°', '33°', '33°', '37°', '37°']"
Sika,"['36°', '32°', '32°', '30°', '30°', '30°', '30°', '29°', '29°', '29°', '29°', '36°', '32°']"
Silchar,"['33°', '30°', '30°', '31°', '31°', '31°', '31°', '28°', '28°', '27°', '27°', '33°', '30°']"
Siliguri,"['31°', '30°', '30°', '29°', '29°', '27°', '27°', '26°', '26°', '25°', '25°', '31°', '30°']"
Srinagar,"['22°', '21°', '21°', '19°', '19°', '18°', '18°', '18°', '18°', '18°', '18°', '22°', '21°']"
Surat,"['38°', '34°', '34°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '38°', '34°']"
Suthari,"['35°', '32°', '32°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '35°', '32°']"
Tellicherry,"['34°', '32°', '32°', '32°', '32°', '33°', '33°', '33°', '33°', '32°', '32°', '34°', '32°']"
Tezpur,"['32°', '28°', '28°', '25°', '25°', '27°', '27°', '25°', '25°', '25°', '25°', '32°', '28°']"
Thiruvananthapuram,"['34°', '34°', '34°', '34°', '34°', '34°', '34°', '33°', '33°', '33°', '33°', '34°', '34°']"
Tiruchendur,"['30°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '30°', '31°']"
Tonk,"['33°', '33°', '33°', '30°', '30°', '30°', '30°', '29°', '29°', '29°', '29°', '33°', '33°']"
Trivandrum,"['34°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '34°', '32°']"
Tuticorin,"['31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '32°']"
Udaipur,"['32°', '31°', '31°', '29°', '29°', '29°', '29°', '29°', '29°', '28°', '28°', '32°', '31°']"
Uvari,"['31°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '33°', '33°', '31°', '32°']"
Vadodara,"['35°', '34°', '34°', '33°', '33°', '32°', '32°', '31°', '31°', '31°', '31°', '35°', '34°']"
Varanasi,"['34°', '35°', '35°', '34°', '34°', '31°', '31°', '30°', '30°', '28°', '28°', '34°', '35°']"
Vellore,"['34°', '34°', '34°', '33°', '33°', '32°', '32°', '33°', '33°', '34°', '34°', '34°', '34°']"
Vengurla,"['33°', '31°', '31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '33°', '31°']"
Veraval,"['36°', '34°', '34°', '33°', '33°', '31°', '31°', '31°', '31°', '31°', '31°', '36°', '34°']"
Vijayawada,"['37°', '36°', '36°', '35°', '35°', '30°', '30°', '30°', '30°', '30°', '30°', '37°', '36°']"
Vishakhapatnam,"['32°', '32°', '32°', '32°', '32°', '29°', '29°', '27°', '27°', '27°', '27°', '32°', '32°']"
